NetCode,site_no,NetName
"ANL","345152091502401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345152091502402","Arkansas northern Lonoke County Groundwater Network"
"ANL","345205091502401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345205091502402","Arkansas northern Lonoke County Groundwater Network"
"ANL","345402091502201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345407091463801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345413091493401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345415091505301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345427091524801","Arkansas northern Lonoke County Groundwater Network"
"ANL","345430091512301","Arkansas northern Lonoke County Groundwater Network"
"ANL","345519091505401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345541091491401","Arkansas northern Lonoke County Groundwater Network"
"ANL","345547091514101","Arkansas northern Lonoke County Groundwater Network"
"ANL","345548091512501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345553091512501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345559091514101","Arkansas northern Lonoke County Groundwater Network"
"ANL","345614091522501","Arkansas northern Lonoke County Groundwater Network"
"ANL","345618091521201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345709091460701","Arkansas northern Lonoke County Groundwater Network"
"ANL","345753091543201","Arkansas northern Lonoke County Groundwater Network"
"ANL","345757091515401","Arkansas northern Lonoke County Groundwater Network"
"ASR","324417092090001","Arkansas Sparta Recovery Groundwater Network"
"ASR","324626091543901","Arkansas Sparta Recovery Groundwater Network"
"ASR","324707093025001","Arkansas Sparta Recovery Groundwater Network"
"ASR","325647092241501","Arkansas Sparta Recovery Groundwater Network"
"ASR","330002092445901","Arkansas Sparta Recovery Groundwater Network"
"ASR","330558093115601","Arkansas Sparta Recovery Groundwater Network"
"ASR","330651092212001","Arkansas Sparta Recovery Groundwater Network"
"ASR","330855092505601","Arkansas Sparta Recovery Groundwater Network"
"ASR","331104092380201","Arkansas Sparta Recovery Groundwater Network"
"ASR","331144092410601","Arkansas Sparta Recovery Groundwater Network"
"ASR","331256092483702","Arkansas Sparta Recovery Groundwater Network"
"ASR","331346092391101","Arkansas Sparta Recovery Groundwater Network"
"ASR","331354092322401","Arkansas Sparta Recovery Groundwater Network"
"ASR","331438092411901","Arkansas Sparta Recovery Groundwater Network"
"ASR","331609093144902","Arkansas Sparta Recovery Groundwater Network"
"ASR","332142092162101","Arkansas Sparta Recovery Groundwater Network"
"ASR","332205092433001","Arkansas Sparta Recovery Groundwater Network"
"ASR","332437093043102","Arkansas Sparta Recovery Groundwater Network"
"ASR","333234092525201","Arkansas Sparta Recovery Groundwater Network"
"BCN","413522070373601","Barnstable County Network"
"BCN","413525070291901","Barnstable County Network"
"BCN","413525070291904","Barnstable County Network"
"BCN","413631070331801","Barnstable County Network"
"BCN","413730070230201","Barnstable County Network"
"BCN","413801070322703","Barnstable County Network"
"BCN","413930070190901","Barnstable County Network"
"BCN","413958070214701","Barnstable County Network"
"BCN","413958070281801","Barnstable County Network"
"BCN","414051070130301","Barnstable County Network"
"BCN","414059070153301","Barnstable County Network"
"BCN","414100070011101","Barnstable County Network"
"BCN","414124070265901","Barnstable County Network"
"BCN","414124070311401","Barnstable County Network"
"BCN","414129070361401","Barnstable County Network"
"BCN","414139070311501","Barnstable County Network"
"BCN","414154070165001","Barnstable County Network"
"BCN","414159070310501","Barnstable County Network"
"BCN","414210070090901","Barnstable County Network"
"BCN","414219070131101","Barnstable County Network"
"BCN","414219070313601","Barnstable County Network"
"BCN","414337070292501","Barnstable County Network"
"BCN","414400070242901","Barnstable County Network"
"BCN","414402070083901","Barnstable County Network"
"BCN","414405070312104","Barnstable County Network"
"BCN","414411070272501","Barnstable County Network"
"BCN","414435070062201","Barnstable County Network"
"BCN","414518070020301","Barnstable County Network"
"BCN","414523070311901","Barnstable County Network"
"BCN","414630070014901","Barnstable County Network"
"BCN","414726069581601","Barnstable County Network"
"BCN","415125069581501","Barnstable County Network"
"BCN","415353069585401","Barnstable County Network"
"BCN","415722070010001","Barnstable County Network"
"BCN","415732070000401","Barnstable County Network"
"BCN","420051070024805","Barnstable County Network"
"BCN","420206070045901","Barnstable County Network"
"BCN","420313070061901","Barnstable County Network"
"BCN","420355070112302","Barnstable County Network"
"CGW","410443073414101","Connecticut Groundwater Network"
"CGW","410515073415901","Connecticut Groundwater Network"
"CGW","410628073413301","Connecticut Groundwater Network"
"CGW","411058073182001","Connecticut Groundwater Network"
"CGW","411103073181301","Connecticut Groundwater Network"
"CGW","411118073175801","Connecticut Groundwater Network"
"CGW","411124073172201","Connecticut Groundwater Network"
"CGW","411256073153101","Connecticut Groundwater Network"
"CGW","411735072315001","Connecticut Groundwater Network"
"CGW","411826072322401","Connecticut Groundwater Network"
"CGW","411832072325501","Connecticut Groundwater Network"
"CGW","412013072030601","Connecticut Groundwater Network"
"CGW","412307072515201","Connecticut Groundwater Network"
"CGW","412417072541901","Connecticut Groundwater Network"
"CGW","412417072541902","Connecticut Groundwater Network"
"CGW","412423072542801","Connecticut Groundwater Network"
"CGW","412429073165101","Connecticut Groundwater Network"
"CGW","412541072542001","Connecticut Groundwater Network"
"CGW","412546072541701","Connecticut Groundwater Network"
"CGW","412546072541702","Connecticut Groundwater Network"
"CGW","412746071510601","Connecticut Groundwater Network"
"CGW","412809072420701","Connecticut Groundwater Network"
"CGW","412824072173301","Connecticut Groundwater Network"
"CGW","412825072410501","Connecticut Groundwater Network"
"CGW","412916073121701","Connecticut Groundwater Network"
"CGW","412931071514201","Connecticut Groundwater Network"
"CGW","412935073122701","Connecticut Groundwater Network"
"CGW","412954073125201","Connecticut Groundwater Network"
"CGW","413002073131001","Connecticut Groundwater Network"
"CGW","413007073250501","Connecticut Groundwater Network"
"CGW","413033072432001","Connecticut Groundwater Network"
"CGW","413134073021701","Connecticut Groundwater Network"
"CGW","413202073122401","Connecticut Groundwater Network"
"CGW","413245072584201","Connecticut Groundwater Network"
"CGW","413254072335501","Connecticut Groundwater Network"
"CGW","413457072252201","Connecticut Groundwater Network"
"CGW","413518072264501","Connecticut Groundwater Network"
"CGW","413535072253701","Connecticut Groundwater Network"
"CGW","413554072270201","Connecticut Groundwater Network"
"CGW","414054071552001","Connecticut Groundwater Network"
"CGW","414237072034401","Connecticut Groundwater Network"
"CGW","414240072032201","Connecticut Groundwater Network"
"CGW","414240072032202","Connecticut Groundwater Network"
"CGW","414240072033201","Connecticut Groundwater Network"
"CGW","414243072040501","Connecticut Groundwater Network"
"CGW","414548072114501","Connecticut Groundwater Network"
"CGW","414615072581601","Connecticut Groundwater Network"
"CGW","414649072574401","Connecticut Groundwater Network"
"CGW","414704072580501","Connecticut Groundwater Network"
"CGW","414741072134501","Connecticut Groundwater Network"
"CGW","414814072183101","Connecticut Groundwater Network"
"CGW","414815072183401","Connecticut Groundwater Network"
"CGW","414825072185601","Connecticut Groundwater Network"
"CGW","414825072185602","Connecticut Groundwater Network"
"CGW","414831072173002","Connecticut Groundwater Network"
"CGW","414833072190301","Connecticut Groundwater Network"
"CGW","414843072182601","Connecticut Groundwater Network"
"CGW","414844072182701","Connecticut Groundwater Network"
"CGW","414910072372101","Connecticut Groundwater Network"
"CGW","415312072280201","Connecticut Groundwater Network"
"CGW","415450072332201","Connecticut Groundwater Network"
"CGW","415458072291901","Connecticut Groundwater Network"
"CGW","415559073253401","Connecticut Groundwater Network"
"CGW","415640072275801","Connecticut Groundwater Network"
"CGW","415643072502201","Connecticut Groundwater Network"
"CGW","415647072495901","Connecticut Groundwater Network"
"CGW","415649072494801","Connecticut Groundwater Network"
"CGW","415925073252001","Connecticut Groundwater Network"
"CGW","415956073241501","Connecticut Groundwater Network"
"CGW","420125073193001","Connecticut Groundwater Network"
"CRN","132624144452771","Climate Response Network"
"CRN","174303064484400","Climate Response Network"
"CRN","175947066130601","Climate Response Network"
"CRN","180559065280501","Climate Response Network"
"CRN","181301067081900","Climate Response Network"
"CRN","181352066025300","Climate Response Network"
"CRN","181950064422300","Climate Response Network"
"CRN","182038064550300","Climate Response Network"
"CRN","182044064454900","Climate Response Network"
"CRN","182224065430300","Climate Response Network"
"CRN","182515065594100","Climate Response Network"
"CRN","190423155371501","Climate Response Network"
"CRN","210605157012001","Climate Response Network"
"CRN","215607159344301","Climate Response Network"
"CRN","220126159261501","Climate Response Network"
"CRN","260010080085001","Climate Response Network"
"CRN","260111081243901","Climate Response Network"
"CRN","272714081545903","Climate Response Network"
"CRN","274812081190301","Climate Response Network"
"CRN","283249081053203","Climate Response Network"
"CRN","292338095063601","Climate Response Network"
"CRN","292628099401401","Climate Response Network"
"CRN","293202099063501","Climate Response Network"
"CRN","295314091312101","Climate Response Network"
"CRN","295850082140301","Climate Response Network"
"CRN","300740084293001","Climate Response Network"
"CRN","302301081295001","Climate Response Network"
"CRN","302416087505501","Climate Response Network"
"CRN","302948095422501","Climate Response Network"
"CRN","303143095334801","Climate Response Network"
"CRN","305018093251301","Climate Response Network"
"CRN","305110102533401","Climate Response Network"
"CRN","305519090481801","Climate Response Network"
"CRN","305737090322501","Climate Response Network"
"CRN","310507084262201","Climate Response Network"
"CRN","310928092421401","Climate Response Network"
"CRN","311009084495502","Climate Response Network"
"CRN","311009084495503","Climate Response Network"
"CRN","311319086153601","Climate Response Network"
"CRN","311828093270301","Climate Response Network"
"CRN","312044110141901","Climate Response Network"
"CRN","312127084065801","Climate Response Network"
"CRN","314115088392301","Climate Response Network"
"CRN","314330084005403","Climate Response Network"
"CRN","315906081011204","Climate Response Network"
"CRN","315950081161201","Climate Response Network"
"CRN","321603080432202","Climate Response Network"
"CRN","322323106314701","Climate Response Network"
"CRN","322343093211501","Climate Response Network"
"CRN","322500085551201","Climate Response Network"
"CRN","322652083033001","Climate Response Network"
"CRN","323001088021601","Climate Response Network"
"CRN","324003114235701","Climate Response Network"
"CRN","324508091252301","Climate Response Network"
"CRN","324508091252302","Climate Response Network"
"CRN","324953112151401","Climate Response Network"
"CRN","325518093221901","Climate Response Network"
"CRN","330858084122901","Climate Response Network"
"CRN","331354092322401","Climate Response Network"
"CRN","331507084171801","Climate Response Network"
"CRN","331943103332801","Climate Response Network"
"CRN","332115103403301","Climate Response Network"
"CRN","332808083010201","Climate Response Network"
"CRN","332937105314501","Climate Response Network"
"CRN","333122116394001","Climate Response Network"
"CRN","333204087324601","Climate Response Network"
"CRN","333605085204701","Climate Response Network"
"CRN","334215089442701","Climate Response Network"
"CRN","335258091152301","Climate Response Network"
"CRN","335322111150701","Climate Response Network"
"CRN","335336082214600","Climate Response Network"
"CRN","335517084164001","Climate Response Network"
"CRN","335631078003606","Climate Response Network"
"CRN","335911090553901","Climate Response Network"
"CRN","335929087021001","Climate Response Network"
"CRN","340042095051801","Climate Response Network"
"CRN","340059080240709","Climate Response Network"
"CRN","340118107424201","Climate Response Network"
"CRN","340529091154801","Climate Response Network"
"CRN","340837081173800","Climate Response Network"
"CRN","341010102240801","Climate Response Network"
"CRN","341149080562100","Climate Response Network"
"CRN","342301088230101","Climate Response Network"
"CRN","342440080443900","Climate Response Network"
"CRN","342543080165800","Climate Response Network"
"CRN","342718087285601","Climate Response Network"
"CRN","342854088194101","Climate Response Network"
"CRN","343048093030401","Climate Response Network"
"CRN","343152088213003","Climate Response Network"
"CRN","343457096404501","Climate Response Network"
"CRN","343714082285600","Climate Response Network"
"CRN","343726093481801","Climate Response Network"
"CRN","343843085403201","Climate Response Network"
"CRN","344000081250011","Climate Response Network"
"CRN","344314083433201","Climate Response Network"
"CRN","344333080503600","Climate Response Network"
"CRN","344431106393403","Climate Response Network"
"CRN","345051083041800","Climate Response Network"
"CRN","345145081502900","Climate Response Network"
"CRN","345403085160001","Climate Response Network"
"CRN","345557112294501","Climate Response Network"
"CRN","345603110450301","Climate Response Network"
"CRN","345809077301408","Climate Response Network"
"CRN","345812079313401","Climate Response Network"
"CRN","345830081033101","Climate Response Network"
"CRN","350857089591401","Climate Response Network"
"CRN","351121083545002","Climate Response Network"
"CRN","351308098341601","Climate Response Network"
"CRN","351709082434101","Climate Response Network"
"CRN","351808082374302","Climate Response Network"
"CRN","351849078163901","Climate Response Network"
"CRN","352315082484401","Climate Response Network"
"CRN","352515086011702","Climate Response Network"
"CRN","353135080524201","Climate Response Network"
"CRN","353219077153801","Climate Response Network"
"CRN","353606090510701","Climate Response Network"
"CRN","353922083345600","Climate Response Network"
"CRN","354056106215801","Climate Response Network"
"CRN","354057080362601","Climate Response Network"
"CRN","354418076463601","Climate Response Network"
"CRN","355352104054201","Climate Response Network"
"CRN","355359080331701","Climate Response Network"
"CRN","355927092122401","Climate Response Network"
"CRN","355944079013401","Climate Response Network"
"CRN","360521085432600","Climate Response Network"
"CRN","361011079595401","Climate Response Network"
"CRN","361739099323301","Climate Response Network"
"CRN","361829076163201","Climate Response Network"
"CRN","362155094254801","Climate Response Network"
"CRN","362529116171100","Climate Response Network"
"CRN","362935096291501","Climate Response Network"
"CRN","362955089581801","Climate Response Network"
"CRN","363033101440701","Climate Response Network"
"CRN","363749083430701","Climate Response Network"
"CRN","363928076332901","Climate Response Network"
"CRN","364126076003501","Climate Response Network"
"CRN","364255108053202","Climate Response Network"
"CRN","364732080070301","Climate Response Network"
"CRN","365210088391301","Climate Response Network"
"CRN","365403112452801","Climate Response Network"
"CRN","370505113203501","Climate Response Network"
"CRN","370604082403901","Climate Response Network"
"CRN","370712076413203","Climate Response Network"
"CRN","370812080261901","Climate Response Network"
"CRN","370841076275204","Climate Response Network"
"CRN","371211089160501","Climate Response Network"
"CRN","371644077244601","Climate Response Network"
"CRN","371653079552101","Climate Response Network"
"CRN","371800092094801","Climate Response Network"
"CRN","372537105523001","Climate Response Network"
"CRN","372608078404601","Climate Response Network"
"CRN","372705075555903","Climate Response Network"
"CRN","373701093151601","Climate Response Network"
"CRN","373737077083201","Climate Response Network"
"CRN","373758079271601","Climate Response Network"
"CRN","373839081255201","Climate Response Network"
"CRN","374012105410401","Climate Response Network"
"CRN","374151085413201","Climate Response Network"
"CRN","374453088261701","Climate Response Network"
"CRN","375050109034801","Climate Response Network"
"CRN","375723075344404","Climate Response Network"
"CRN","375928084362001","Climate Response Network"
"CRN","380616075380701","Climate Response Network"
"CRN","380626087344401","Climate Response Network"
"CRN","380653080155301","Climate Response Network"
"CRN","380758087551001","Climate Response Network"
"CRN","381002078094201","Climate Response Network"
"CRN","381132076551001","Climate Response Network"
"CRN","382008080292801","Climate Response Network"
"CRN","382150078424001","Climate Response Network"
"CRN","382205082304501","Climate Response Network"
"CRN","382323086044501","Climate Response Network"
"CRN","382323104200701","Climate Response Network"
"CRN","382329075263701","Climate Response Network"
"CRN","382726093121601","Climate Response Network"
"CRN","382927076552301","Climate Response Network"
"CRN","383048089263201","Climate Response Network"
"CRN","383247087361001","Climate Response Network"
"CRN","383423077245901","Climate Response Network"
"CRN","383439088160001","Climate Response Network"
"CRN","383730075213501","Climate Response Network"
"CRN","383746076482901","Climate Response Network"
"CRN","384920115343001","Climate Response Network"
"CRN","385041075395601","Climate Response Network"
"CRN","385041075395602","Climate Response Network"
"CRN","385512088112401","Climate Response Network"
"CRN","385607077381101","Climate Response Network"
"CRN","385638077220101","Climate Response Network"
"CRN","385756076105301","Climate Response Network"
"CRN","385849079563901","Climate Response Network"
"CRN","390151076561501","Climate Response Network"
"CRN","390156074533401","Climate Response Network"
"CRN","390348078035501","Climate Response Network"
"CRN","390434076573002","Climate Response Network"
"CRN","390607075331501","Climate Response Network"
"CRN","390623113084101","Climate Response Network"
"CRN","390740103055801","Climate Response Network"
"CRN","390830102052001","Climate Response Network"
"CRN","390839075515001","Climate Response Network"
"CRN","390841082535800","Climate Response Network"
"CRN","390925111455301","Climate Response Network"
"CRN","391214084470100","Climate Response Network"
"CRN","391314077224201","Climate Response Network"
"CRN","391350087385301","Climate Response Network"
"CRN","391445076555101","Climate Response Network"
"CRN","391542077423801","Climate Response Network"
"CRN","391650076050402","Climate Response Network"
"CRN","391920078032201","Climate Response Network"
"CRN","391933075435001","Climate Response Network"
"CRN","392200078532001","Climate Response Network"
"CRN","392725077582401","Climate Response Network"
"CRN","392731075092401","Climate Response Network"
"CRN","392732075092401","Climate Response Network"
"CRN","392757077501001","Climate Response Network"
"CRN","392931076410301","Climate Response Network"
"CRN","393102076341801","Climate Response Network"
"CRN","393153083322000","Climate Response Network"
"CRN","393158076302601","Climate Response Network"
"CRN","393310114475001","Climate Response Network"
"CRN","393333074442401","Climate Response Network"
"CRN","393402077434201","Climate Response Network"
"CRN","393638078001301","Climate Response Network"
"CRN","393733077274801","Climate Response Network"
"CRN","393749079190301","Climate Response Network"
"CRN","393750090333101","Climate Response Network"
"CRN","393814113522601","Climate Response Network"
"CRN","393851077343001","Climate Response Network"
"CRN","393902076160001","Climate Response Network"
"CRN","393902103554001","Climate Response Network"
"CRN","393928113522601","Climate Response Network"
"CRN","394008077005601","Climate Response Network"
"CRN","394156092030201","Climate Response Network"
"CRN","394236075272101","Climate Response Network"
"CRN","394354075025901","Climate Response Network"
"CRN","394426085080601","Climate Response Network"
"CRN","394430077225001","Climate Response Network"
"CRN","394655080014301","Climate Response Network"
"CRN","394755078135001","Climate Response Network"
"CRN","394843079351401","Climate Response Network"
"CRN","394933081441701","Climate Response Network"
"CRN","395136108210004","Climate Response Network"
"CRN","395150074284201","Climate Response Network"
"CRN","395322077365301","Climate Response Network"
"CRN","395450075485401","Climate Response Network"
"CRN","395512075293701","Climate Response Network"
"CRN","395649095530101","Climate Response Network"
"CRN","395846077040601","Climate Response Network"
"CRN","395847084085500","Climate Response Network"
"CRN","395920079021501","Climate Response Network"
"CRN","395928074502701","Climate Response Network"
"CRN","400155101521302","Climate Response Network"
"CRN","400209077183301","Climate Response Network"
"CRN","400217078281901","Climate Response Network"
"CRN","400219111393701","Climate Response Network"
"CRN","400229075104601","Climate Response Network"
"CRN","400232074213201","Climate Response Network"
"CRN","400233080261301","Climate Response Network"
"CRN","400540082540400","Climate Response Network"
"CRN","400541085213701","Climate Response Network"
"CRN","400916076492301","Climate Response Network"
"CRN","401157075032001","Climate Response Network"
"CRN","401216080362703","Climate Response Network"
"CRN","401312112442301","Climate Response Network"
"CRN","401444093442001","Climate Response Network"
"CRN","401528119470501","Climate Response Network"
"CRN","401637076071501","Climate Response Network"
"CRN","401654088212004","Climate Response Network"
"CRN","401733075171401","Climate Response Network"
"CRN","401804074432601","Climate Response Network"
"CRN","401843078075401","Climate Response Network"
"CRN","401921089282103","Climate Response Network"
"CRN","402101099595001","Climate Response Network"
"CRN","402138079031802","Climate Response Network"
"CRN","402143074185201","Climate Response Network"
"CRN","402151074525301","Climate Response Network"
"CRN","402207076180801","Climate Response Network"
"CRN","402255076422001","Climate Response Network"
"CRN","402312109545701","Climate Response Network"
"CRN","402322085481901","Climate Response Network"
"CRN","402411077374801","Climate Response Network"
"CRN","402452078271301","Climate Response Network"
"CRN","402553074271701","Climate Response Network"
"CRN","402558087351501","Climate Response Network"
"CRN","402615075530501","Climate Response Network"
"CRN","402643075150501","Climate Response Network"
"CRN","402734087033402","Climate Response Network"
"CRN","402735077100901","Climate Response Network"
"CRN","402739088524102","Climate Response Network"
"CRN","402750078452201","Climate Response Network"
"CRN","402851087213501","Climate Response Network"
"CRN","403006080252301","Climate Response Network"
"CRN","403407086175701","Climate Response Network"
"CRN","403429075392401","Climate Response Network"
"CRN","403452091193401","Climate Response Network"
"CRN","403455074514801","Climate Response Network"
"CRN","403517074452501","Climate Response Network"
"CRN","403719075091801","Climate Response Network"
"CRN","403734080063001","Climate Response Network"
"CRN","403939076591001","Climate Response Network"
"CRN","404106074171901","Climate Response Network"
"CRN","404140077354001","Climate Response Network"
"CRN","404239076362001","Climate Response Network"
"CRN","404556077525101","Climate Response Network"
"CRN","404614073164404","Climate Response Network"
"CRN","404648083412600","Climate Response Network"
"CRN","404655081553100","Climate Response Network"
"CRN","404708076070701","Climate Response Network"
"CRN","404745075184001","Climate Response Network"
"CRN","404804096403301","Climate Response Network"
"CRN","404934074400501","Climate Response Network"
"CRN","404958073085001","Climate Response Network"
"CRN","405149072532201","Climate Response Network"
"CRN","405320078483901","Climate Response Network"
"CRN","405344079380201","Climate Response Network"
"CRN","405451091483301","Climate Response Network"
"CRN","405756072173502","Climate Response Network"
"CRN","405830072331502","Climate Response Network"
"CRN","405843081182300","Climate Response Network"
"CRN","405928077115501","Climate Response Network"
"CRN","410057095075101","Climate Response Network"
"CRN","410123075425401","Climate Response Network"
"CRN","410207074270001","Climate Response Network"
"CRN","410443073414101","Climate Response Network"
"CRN","410449074483301","Climate Response Network"
"CRN","410501079524401","Climate Response Network"
"CRN","410515073415901","Climate Response Network"
"CRN","410538080280801","Climate Response Network"
"CRN","410627078313601","Climate Response Network"
"CRN","410705076334901","Climate Response Network"
"CRN","410727076402901","Climate Response Network"
"CRN","410853073554001","Climate Response Network"
"CRN","410914074540401","Climate Response Network"
"CRN","411126099422501","Climate Response Network"
"CRN","411223075234901","Climate Response Network"
"CRN","411256073153101","Climate Response Network"
"CRN","411412105272001","Climate Response Network"
"CRN","411421073481202","Climate Response Network"
"CRN","411424077462201","Climate Response Network"
"CRN","411555070021901","Climate Response Network"
"CRN","411734078522101","Climate Response Network"
"CRN","411756076162701","Climate Response Network"
"CRN","411802073593001","Climate Response Network"
"CRN","411819082493900","Climate Response Network"
"CRN","411832072325501","Climate Response Network"
"CRN","411833075133601","Climate Response Network"
"CRN","411922085221801","Climate Response Network"
"CRN","411958079540202","Climate Response Network"
"CRN","412053088101801","Climate Response Network"
"CRN","412154071462901","Climate Response Network"
"CRN","412214071394001","Climate Response Network"
"CRN","412331081123000","Climate Response Network"
"CRN","412346070353403","Climate Response Network"
"CRN","412417072541901","Climate Response Network"
"CRN","412423072542801","Climate Response Network"
"CRN","412429073165101","Climate Response Network"
"CRN","412458078324601","Climate Response Network"
"CRN","412637074362301","Climate Response Network"
"CRN","412714073331301","Climate Response Network"
"CRN","412718071415201","Climate Response Network"
"CRN","412732078034201","Climate Response Network"
"CRN","412739080104201","Climate Response Network"
"CRN","412823079030601","Climate Response Network"
"CRN","412824072173301","Climate Response Network"
"CRN","412825072410501","Climate Response Network"
"CRN","412844071422802","Climate Response Network"
"CRN","412916073121701","Climate Response Network"
"CRN","412918071321001","Climate Response Network"
"CRN","412931071514201","Climate Response Network"
"CRN","412932071374302","Climate Response Network"
"CRN","412935071355701","Climate Response Network"
"CRN","412935073122701","Climate Response Network"
"CRN","412954073125201","Climate Response Network"
"CRN","413026076352901","Climate Response Network"
"CRN","413126071455501","Climate Response Network"
"CRN","413130100531202","Climate Response Network"
"CRN","413135071314201","Climate Response Network"
"CRN","413148071281601","Climate Response Network"
"CRN","413220071115501","Climate Response Network"
"CRN","413252071323601","Climate Response Network"
"CRN","413325071152401","Climate Response Network"
"CRN","413346075421301","Climate Response Network"
"CRN","413358071433801","Climate Response Network"
"CRN","413400071363101","Climate Response Network"
"CRN","413428074085701","Climate Response Network"
"CRN","413431083523500","Climate Response Network"
"CRN","413457072252201","Climate Response Network"
"CRN","413518072264501","Climate Response Network"
"CRN","413525070291904","Climate Response Network"
"CRN","413535072253701","Climate Response Network"
"CRN","413542080245002","Climate Response Network"
"CRN","413559087270301","Climate Response Network"
"CRN","413645071332901","Climate Response Network"
"CRN","413743089310101","Climate Response Network"
"CRN","413907071465001","Climate Response Network"
